Tick,NestId,Inactive,Assessing,Recruiting,Reversing
112000,1,0,4,2,0
112000,2,0,12,11,0
112500,0,153,0,0,0
112500,1,0,4,2,0
112500,2,0,13,11,0
113000,0,152,0,0,0
113000,1,0,4,2,0
113000,2,0,14,11,0
113500,0,152,0,0,0
113500,1,0,5,2,0
113500,2,0,14,11,0
114000,0,152,0,0,0
114000,1,0,5,2,0
114000,2,0,14,11,0
114500,0,152,0,0,0
114500,1,0,5,2,0
114500,2,0,13,12,0
115000,0,152,0,0,0
115000,1,0,5,2,0
115000,2,0,13,12,0
115500,0,152,0,0,0
115500,1,0,6,2,0
115500,2,0,12,12,0
116000,0,152,0,0,0
116000,1,0,6,2,0
116000,2,0,11,13,0
116500,0,152,0,0,0
116500,1,0,6,2,0
116500,2,0,12,13,0
117000,0,152,0,0,0
117000,1,0,6,2,0
117000,2,0,12,13,0
117500,0,152,0,0,0
117500,1,0,6,2,0
117500,2,0,12,13,0
118000,0,152,0,0,0
118000,1,0,7,2,0
118000,2,0,11,14,0
118500,0,151,0,0,0
118500,1,0,7,2,0
118500,2,0,12,14,0
119000,0,151,0,0,0
119000,1,0,7,2,0
119000,2,0,13,14,0
119500,0,151,0,0,0
119500,1,0,8,2,0
119500,2,0,14,14,0
120000,0,151,0,0,0
120000,1,0,8,2,0
120000,2,0,13,15,0
120500,0,151,0,0,0
120500,1,0,8,2,0
120500,2,0,13,15,0
121000,0,151,0,0,0
121000,1,0,8,2,0
121000,2,0,12,16,0
121500,0,151,0,0,0
121500,1,0,8,2,0
121500,2,0,12,16,0
122000,0,151,0,0,0
122000,1,0,7,2,0
122000,2,0,12,16,0
122500,0,151,0,0,0
122500,1,0,7,2,0
122500,2,0,12,16,0
123000,0,151,0,0,0
123000,1,0,7,2,0
123000,2,0,12,16,0
123500,0,149,0,0,0
123500,1,0,7,2,0
123500,2,0,12,17,0
124000,0,149,0,0,0
124000,1,0,7,2,0
124000,2,0,12,17,0
124500,0,149,0,0,0
124500,1,0,7,2,0
124500,2,0,11,17,0
125000,0,149,0,0,0
125000,1,0,8,2,0
125000,2,0,12,17,0
125500,0,149,0,0,0
125500,1,0,8,2,0
125500,2,0,13,16,0
126000,0,149,0,0,0
126000,1,0,8,2,0
126000,2,0,13,16,0
126500,0,149,1,0,0
126500,1,0,8,2,0
126500,2,0,12,16,0
127000,0,149,1,0,0
127000,1,0,8,2,0
127000,2,0,12,16,0
127500,0,149,1,0,0
127500,1,0,8,2,0
127500,2,0,13,16,0
128000,0,149,1,0,0
128000,1,0,8,2,0
128000,2,0,13,16,0
128500,0,149,1,0,0
128500,1,0,8,2,0
128500,2,0,13,16,0
129000,0,149,1,0,0
129000,1,0,8,2,0
129000,2,0,14,16,0
129500,0,149,1,0,0
129500,1,0,6,3,0
129500,2,0,14,16,0
130000,0,149,1,0,0
130000,1,0,7,3,0
130000,2,0,14,16,0
130500,0,149,1,0,0
130500,1,0,7,3,0
130500,2,0,15,16,0
131000,0,149,1,0,0
131000,1,0,7,3,0
131000,2,0,15,16,0
131500,0,149,1,0,0
131500,1,0,7,3,0
131500,2,0,15,16,0
132000,0,149,1,0,0
132000,1,0,7,3,0
132000,2,1,15,16,0
132500,0,149,1,0,0
132500,1,0,7,3,0
132500,2,1,16,16,0
133000,0,149,1,0,0
133000,1,0,7,3,0
133000,2,1,16,16,0
133500,0,149,1,0,0
133500,1,0,6,3,0
133500,2,1,16,16,0
134000,0,149,1,0,0
134000,1,0,6,3,0
134000,2,1,16,16,0
134500,0,149,2,0,0
134500,1,0,6,4,0
134500,2,1,16,14,0
135000,0,149,2,0,0
135000,1,0,7,4,0
135000,2,1,15,15,0
135500,0,148,2,0,0
135500,1,0,7,4,0
135500,2,1,15,15,0
136000,0,148,2,0,0
136000,1,0,7,4,0
136000,2,1,13,17,0
136500,0,148,2,0,0
136500,1,0,7,4,0
136500,2,1,12,17,0
137000,0,148,2,0,0
137000,1,0,7,4,0
137000,2,1,12,17,0
137500,0,148,2,0,0
137500,1,0,7,4,0
137500,2,1,13,17,0
138000,0,148,2,0,0
138000,1,0,7,4,0
138000,2,1,12,17,0
138500,0,148,2,0,0
138500,1,0,8,4,0
138500,2,1,12,17,0
139000,0,148,2,0,0
139000,1,0,7,4,0
139000,2,1,12,17,0
139500,0,148,2,0,0
139500,1,0,7,4,0
139500,2,1,13,17,0
140000,0,148,2,0,0
140000,1,0,7,4,0
140000,2,1,15,16,0
140500,0,148,2,0,0
140500,1,0,6,4,0
140500,2,1,15,17,0
141000,0,148,2,0,0
141000,1,0,6,4,0
141000,2,2,15,17,0
141500,0,148,2,0,0
141500,1,0,6,4,0
141500,2,2,15,17,0
142000,0,148,2,0,0
142000,1,0,6,4,0
142000,2,2,15,17,0
142500,0,148,2,0,0
142500,1,0,6,4,0
142500,2,2,15,17,0
143000,0,148,2,0,0
143000,1,0,6,4,0
143000,2,2,15,17,0
143500,0,148,3,0,0
143500,1,0,5,4,0
143500,2,2,14,17,0
144000,0,148,3,0,0
144000,1,0,5,4,0
144000,2,2,15,16,0
144500,0,148,3,0,0
144500,1,0,5,4,0
144500,2,2,15,16,0
145000,0,147,3,0,0
145000,1,0,5,4,0
145000,2,2,14,16,0
145500,0,147,3,0,0
145500,1,0,5,4,0
145500,2,2,13,17,0
146000,0,147,3,0,0
146000,1,0,4,4,0
146000,2,2,13,17,0
146500,0,147,3,0,0
146500,1,0,4,4,0
146500,2,2,12,18,0
147000,0,147,3,0,0
147000,1,0,4,3,0
147000,2,2,13,18,0
147500,0,146,3,0,0
147500,1,0,4,3,0
147500,2,2,13,18,0
148000,0,146,3,0,0
148000,1,0,5,3,0
148000,2,2,12,18,0
148500,0,146,2,0,0
148500,1,0,5,3,0
148500,2,2,12,19,0
149000,0,146,3,0,0
149000,1,0,6,2,0
149000,2,2,13,18,0
149500,0,146,3,0,0
149500,1,0,6,2,0
149500,2,2,13,18,0
150000,0,146,3,0,0
150000,1,0,7,2,0
150000,2,3,13,16,1
150500,0,146,3,0,0
150500,1,0,7,2,0
150500,2,3,11,19,0
151000,0,146,3,0,0
151000,1,0,7,2,0
151000,2,3,11,19,0
151500,0,146,3,0,0
151500,1,0,7,2,0
151500,2,3,11,19,0
152000,0,146,3,0,0
152000,1,0,7,2,0
152000,2,3,11,19,0
152500,0,146,3,0,0
152500,1,0,7,2,0
152500,2,3,11,19,0
153000,0,146,3,0,0
153000,1,0,7,2,0
153000,2,3,10,20,0
153500,0,146,3,0,0
153500,1,0,7,2,0
153500,2,3,10,20,0
154000,0,145,3,0,0
154000,1,0,6,2,0
154000,2,3,10,20,0
154500,0,145,3,0,0
154500,1,0,6,2,0
154500,2,3,10,20,0
155000,0,145,3,0,0
155000,1,0,6,2,0
155000,2,3,10,20,0
155500,0,145,3,0,0
155500,1,0,6,2,0
